Name,SortOrder,SeedStatus,ShortName,DisplayName,SeedTechnologies,LaunchUrl,RepositoryUrl,DefaultRepositoryUrl,DefaultPrivateUrl,PrivateUrl,Notes,IsActive,IsCLI,IsFirebase,IsServer,IsClient,IsDjango,Attachments,IsAirtable,IsSqlServer,IsMySQL,IsAkveo,IsAngular,IsReact,IsIonic,IsPython,IsDotNet,IsIOS,IsAndroid,IsWebApp,IsWinApp,IsMacOS,IsVue,IsJQuery,AdditionalDeploymentInstructions,AdditionalDeploymentCommands,InvokeNPMInstall,SeedReplacements,SeedReplacementsText,CreatedTime,ModifiedTime,TechnologyLogos,TechnologyNames
eapi-airtable-akveo-seed,1,Published,airtable-akveo,Airtable Akveo Administrative Web App,"Client,Airtable,Akveo,Angular,WebApp",,https://github.com/effortlessapi/eapi-airtable-akveo-seed,https://github.com/effortlessapi/eapi-airtable-akveo-seed,git@github.com:eejai42/eapi-airtable-akveo-seed,git@github.com:eejai42/eapi-airtable-akveo-seed,"Administrative Web Application

Starts with authenticated web app which provides data access to all information available through the API.",checked,,,,checked,,,checked,,,checked,checked,,,,,,,checked,,,,,,"npm install
ng serve",checked,"eapi-airtable-akveo-seed_REPLACE_ej-tictactoe-demo_WITH_$EffortlessAPIProject.Alias$,eapi-airtable-akveo-seed_REPLACE_ejtictactoedemo_WITH_$EffortlessAPIProject.AliasToken$,eapi-airtable-akveo-seed_REPLACE_app123abc321_WITH_$EffortlessAPIProject.AirtableId$","REPLACE_ej-tictactoe-demo_WITH_$EffortlessAPIProject.Alias$, REPLACE_ejtictactoedemo_WITH_$EffortlessAPIProject.AliasToken$, REPLACE_app123abc321_WITH_$EffortlessAPIProject.AirtableId$",11/5/2019 5:30pm,1/21/2021 6:55pm,"client (https://dl.airtable.com/.attachments/a0bccf95ddcb941f216b0dddf48ebf95/4d6effdc/Client_App__Pike13),airtable (https://dl.airtable.com/.attachments/a90c9ccbfb7ec257d423835925be54f7/a49f4e4d/I_Finally_Understand_Databases_Because_of_the_Free_Airtable_App_...),akveo (https://dl.airtable.com/.attachments/093ad64ed2274c8a4d0b1a78ad72092a/27ece74b/Ngx-admin_-_Guideline_to_install.),angular (https://dl.airtable.com/.attachments/2dbcd160b85bd6c6ea5a748bac3eaebf/2a5531ae/Angular_-_PRESS_KIT),webapp (https://dl.airtable.com/.attachments/803868516607111421ccb044de723d01/b5ef8a4d/Whats_the_Operating_System_of_my_Webapp__All_Things_Cloud)","Client, Airtable, Akveo, Angular, WebApp"
eapi-project-cli-seed,2,Published,project-cli,EffortlessAPI Project CLI,"CLI,Client,Airtable,DotNet",,https://github.com/effortlessapi/eapi-project-cli-seed,https://github.com/effortlessapi/eapi-project-cli-seed,git@github.com:eejai42/eapi-project-cli-seed,git@github.com:eejai42/eapi-project-cli-seed,A simple .Net Core Fully automatable API Access to your source data.,checked,checked,,,checked,,,checked,,,,,,,,checked,,,,,,,,,,,"eapi-project-cli-seed_REPLACE_ej-tictactoe-demo_WITH_$EffortlessAPIProject.Alias$,eapi-project-cli-seed_REPLACE_<User>_WITH_<$EffortlessAPIProject.UserTable$>","REPLACE_ej-tictactoe-demo_WITH_$EffortlessAPIProject.Alias$, REPLACE_<User>_WITH_<$EffortlessAPIProject.UserTable$>",12/14/2020 11:03pm,1/21/2021 6:55pm,"cli (https://dl.airtable.com/.attachments/90c96913529680ba9e94fcd7edd08aaf/127b5526/Azure_CLI_-_Docker_Hub),client (https://dl.airtable.com/.attachments/a0bccf95ddcb941f216b0dddf48ebf95/4d6effdc/Client_App__Pike13),airtable (https://dl.airtable.com/.attachments/a90c9ccbfb7ec257d423835925be54f7/a49f4e4d/I_Finally_Understand_Databases_Because_of_the_Free_Airtable_App_...),dotnet (https://dl.airtable.com/.attachments/4d53255d56338e7cb21ca9680449a275/89661d40/Dotnet_Vector_Logo_-_Download_Free_SVG_Icon__Worldvectorlogo)","CLI, Client, Airtable, DotNet"
eapi-sqlserver-coordinator-seed,3,Published,sqlserver-coordinator,SQL .Net Core Coordinator Starter,"Server,SqlServer,DotNet",,https://github.com/effortlessapi/eapi-sqlserver-coordinator-seed,https://github.com/effortlessapi/eapi-sqlserver-coordinator-seed,git@github.com:eejai42/eapi-sqlserver-coordinator-seed,git@github.com:eejai42/eapi-sqlserver-coordinator-seed,Creates a local EAPI Server with scripts to create/populate a SQL DB and a RabbitMQ Configuration script for SassyMQ Wrapper Classes,checked,,,checked,,,,,checked,,,,,,,checked,,,,,,,,,,,"""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_ej-tictactoe-demo_WITH_$EffortlessAPIProject.Alias$"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_ejtictactoedemo_WITH_$EffortlessAPIProject.AliasToken$"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_app123abc321_WITH_$EffortlessAPIProject.AirtableId$"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_<dc.User>_WITH_<dc.$EffortlessAPIProject.UserTable$>"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_<User>_WITH_<$EffortlessAPIProject.UserTable$>"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_public User SingletonAppUser_WITH_public $EffortlessAPIProject.UserTable$ SingletonAppUser"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_ dc.User _WITH_ dc.$EffortlessAPIProject.UserTable$"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_user-name=User_WITH_user-name=$EffortlessAPIProject.UserTable$"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_this.APIWrapper.GetAllUsers<dc._WITH_this.APIWrapper.GetAll$EffortlessAPIProject.UserTable$s<dc.""","REPLACE_ej-tictactoe-demo_WITH_$EffortlessAPIProject.Alias$, REPLACE_ejtictactoedemo_WITH_$EffortlessAPIProject.AliasToken$, REPLACE_app123abc321_WITH_$EffortlessAPIProject.AirtableId$, REPLACE_<dc.User>_WITH_<dc.$EffortlessAPIProject.UserTable$>, REPLACE_<User>_WITH_<$EffortlessAPIProject.UserTable$>, REPLACE_public User SingletonAppUser_WITH_public $EffortlessAPIProject.UserTable$ SingletonAppUser, REPLACE_ dc.User _WITH_ dc.$EffortlessAPIProject.UserTable$, REPLACE_user-name=User_WITH_user-name=$EffortlessAPIProject.UserTable$, REPLACE_this.APIWrapper.GetAllUsers<dc._WITH_this.APIWrapper.GetAll$EffortlessAPIProject.UserTable$s<dc.",2/23/2020 8:30pm,1/21/2021 6:55pm,"server (https://dl.airtable.com/.attachments/9e89e187e98b322b31a1c8dde48f7764/9efd933c/Learn_Microservices_-_2021_Best_Microservices_Tutorials),sqlserver (https://dl.airtable.com/.attachments/50fdc3bd590ac8142ef57d48639fea18/c15b096e/SQL_Server_Logo_-_Microsoft_Vector_Free_Download__Sql_server_...),dotnet (https://dl.airtable.com/.attachments/4d53255d56338e7cb21ca9680449a275/89661d40/Dotnet_Vector_Logo_-_Download_Free_SVG_Icon__Worldvectorlogo)","Server, Sql Server, DotNet"
eapi-netcore-material-starter-seed,3,Published,netcore-material-starter,SQL .Net Core Coordinator Starter,"Server,SqlServer,DotNet,EntityFramework,MaterialDesign",,https://github.com/effortlessapi/eapi-netcore-material-starter-seed,https://github.com/effortlessapi/eapi-netcore-material-starter-seed,git@github.com:eejai42/eapi-netcore-material-starter-seed,git@github.com:eejai42/eapi-netcore-material-starter-seed,Creates a local EAPI Server with scripts to create/populate a SQL DB and a RabbitMQ Configuration script for SassyMQ Wrapper Classes,checked,,,checked,,,,,checked,,,,,,,checked,,,,,,,,,,,"""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_ej-tictactoe-demo_WITH_$EffortlessAPIProject.Alias$"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_ejtictactoedemo_WITH_$EffortlessAPIProject.AliasToken$"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_app123abc321_WITH_$EffortlessAPIProject.AirtableId$"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_<dc.User>_WITH_<dc.$EffortlessAPIProject.UserTable$>"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_<User>_WITH_<$EffortlessAPIProject.UserTable$>"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_public User SingletonAppUser_WITH_public $EffortlessAPIProject.UserTable$ SingletonAppUser"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_ dc.User _WITH_ dc.$EffortlessAPIProject.UserTable$"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_user-name=User_WITH_user-name=$EffortlessAPIProject.UserTable$"",""eapi-sqlserver-coordinator-seed, eapi-netcore-material-starter-seed_REPLACE_this.APIWrapper.GetAllUsers<dc._WITH_this.APIWrapper.GetAll$EffortlessAPIProject.UserTable$s<dc.""","REPLACE_ej-tictactoe-demo_WITH_$EffortlessAPIProject.Alias$, REPLACE_ejtictactoedemo_WITH_$EffortlessAPIProject.AliasToken$, REPLACE_app123abc321_WITH_$EffortlessAPIProject.AirtableId$, REPLACE_<dc.User>_WITH_<dc.$EffortlessAPIProject.UserTable$>, REPLACE_<User>_WITH_<$EffortlessAPIProject.UserTable$>, REPLACE_public User SingletonAppUser_WITH_public $EffortlessAPIProject.UserTable$ SingletonAppUser, REPLACE_ dc.User _WITH_ dc.$EffortlessAPIProject.UserTable$, REPLACE_user-name=User_WITH_user-name=$EffortlessAPIProject.UserTable$, REPLACE_this.APIWrapper.GetAllUsers<dc._WITH_this.APIWrapper.GetAll$EffortlessAPIProject.UserTable$s<dc.",5/20/2021 8:04pm,5/20/2021 3:06pm,"server (https://dl.airtable.com/.attachments/9e89e187e98b322b31a1c8dde48f7764/9efd933c/Learn_Microservices_-_2021_Best_Microservices_Tutorials),sqlserver (https://dl.airtable.com/.attachments/50fdc3bd590ac8142ef57d48639fea18/c15b096e/SQL_Server_Logo_-_Microsoft_Vector_Free_Download__Sql_server_...),dotnet (https://dl.airtable.com/.attachments/4d53255d56338e7cb21ca9680449a275/89661d40/Dotnet_Vector_Logo_-_Download_Free_SVG_Icon__Worldvectorlogo),Entity_Framework_Core_and_sqlite_database_migration_(using_VS2017_... (https://dl.airtable.com/.attachments/c8edb7f06b492a703db70bab600e9d29/2e8f2e44/Entity_Framework_Core_and_sqlite_database_migration_using_VS2017_...),GitHub_-_angular-material-extensionsselect-country_Angular_... (https://dl.airtable.com/.attachments/96740893cf31aaa3fcade796044ea5f3/4b7c6141/GitHub_-_angular-material-extensionsselect-country_Angular_...)","Server, Sql Server, DotNet, Entity Framework, Material Design"
eapi-airtable-winapp-seed,5,Published,airtable-winapp,Airtable .Net Native Windows app,"Client,Airtable,DotNet,WinApp",,https://github.com/effortlessapi/eapi-airtable-winapp-seed,https://github.com/effortlessapi/eapi-airtable-winapp-seed,git@github.com:eejai42/eapi-airtable-winapp-seed,git@github.com:eejai42/eapi-airtable-winapp-seed,".Net Windows Native App Application

Implement business logic in .net, and publish it to clickonce.",checked,,,,checked,,,checked,,,,,,,,checked,,,,checked,,,,,,,"eapi-airtable-winapp-seed_REPLACE_ej-tictactoe-demo_WITH_$EffortlessAPIProject.Alias$,eapi-airtable-winapp-seed_REPLACE_ejtictactoedemo_WITH_$EffortlessAPIProject.AliasToken$,eapi-airtable-winapp-seed_REPLACE_app123abc321_WITH_$EffortlessAPIProject.AirtableId$,eapi-airtable-winapp-seed_REPLACE_public User SingletonAppUser_WITH_public $EffortlessAPIProject.UserTable$ SingletonAppUser,eapi-airtable-winapp-seed_REPLACE_public User WhoAmI_WITH_public $EffortlessAPIProject.UserTable$ WhoAmI,eapi-airtable-winapp-seed_REPLACE_this.WhoAmI = new User()_WITH_this.WhoAmI = new $EffortlessAPIProject.UserTable$()","REPLACE_ej-tictactoe-demo_WITH_$EffortlessAPIProject.Alias$, REPLACE_ejtictactoedemo_WITH_$EffortlessAPIProject.AliasToken$, REPLACE_app123abc321_WITH_$EffortlessAPIProject.AirtableId$, REPLACE_public User SingletonAppUser_WITH_public $EffortlessAPIProject.UserTable$ SingletonAppUser, REPLACE_public User WhoAmI_WITH_public $EffortlessAPIProject.UserTable$ WhoAmI, REPLACE_this.WhoAmI = new User()_WITH_this.WhoAmI = new $EffortlessAPIProject.UserTable$()",1/27/2020 11:36pm,1/21/2021 6:55pm,"client (https://dl.airtable.com/.attachments/a0bccf95ddcb941f216b0dddf48ebf95/4d6effdc/Client_App__Pike13),airtable (https://dl.airtable.com/.attachments/a90c9ccbfb7ec257d423835925be54f7/a49f4e4d/I_Finally_Understand_Databases_Because_of_the_Free_Airtable_App_...),dotnet (https://dl.airtable.com/.attachments/4d53255d56338e7cb21ca9680449a275/89661d40/Dotnet_Vector_Logo_-_Download_Free_SVG_Icon__Worldvectorlogo),winapp (https://dl.airtable.com/.attachments/994d7b4fb6a610328db8b60b84c49f7a/a565342a/Windows_Phone_App_Store_Icon_Download_-_Window_Square_Png_Clipart_...)","Client, Airtable, DotNet, WinApp"
eapi-airtable-ionic-seed,22,Published,airtable-ionic,Airtable Ionic cross-platform Mobile App,"Client,Airtable,Angular,Ionic,iOS,Android,WebApp",,https://github.com/effortlessapi/eapi-airtable-ionic-seed,https://github.com/effortlessapi/eapi-airtable-ionic-seed,git@github.com:eejai42/eapi-airtable-ionic-seed,git@github.com:eejai42/eapi-airtable-ionic-seed,"Administrative Web Application

Starts with authenticated web app which provides data access to all information available through the API.",checked,,,,checked,,,checked,,,,checked,,checked,,,checked,checked,checked,,,,,,,,,,12/20/2019 9:52pm,1/21/2021 7:32pm,"client (https://dl.airtable.com/.attachments/a0bccf95ddcb941f216b0dddf48ebf95/4d6effdc/Client_App__Pike13),airtable (https://dl.airtable.com/.attachments/a90c9ccbfb7ec257d423835925be54f7/a49f4e4d/I_Finally_Understand_Databases_Because_of_the_Free_Airtable_App_...),angular (https://dl.airtable.com/.attachments/2dbcd160b85bd6c6ea5a748bac3eaebf/2a5531ae/Angular_-_PRESS_KIT),ionic (https://dl.airtable.com/.attachments/38e3ad64cc0999648f0440ba04e30248/1dc46d40/Ionic_-_Cross-Platform_Mobile_App_Development),ios (https://dl.airtable.com/.attachments/822225515dc27784a0e5e80be2737a30/1f58be74/web-ios-logo__Cardiac_Exercise_Research_Group),android (https://dl.airtable.com/.attachments/e86b827e158acb30410427e71a0695c6/a27037f7/FileAndroid_logo_2019.svg_-_Wikipedia.svg-Wikipedia),webapp (https://dl.airtable.com/.attachments/803868516607111421ccb044de723d01/b5ef8a4d/Whats_the_Operating_System_of_my_Webapp__All_Things_Cloud)","Client, Airtable, Angular, Ionic, iOS, Android, WebApp"
eapi-mysql-python-django-seed,5,Beta,mysql-python-django,MySQL Python-Django Coordinator,"Server,Django,MySQL,Python,WebApp",,https://github.com/effortlessapi/eapi-mysql-python-django-seed,https://github.com/effortlessapi/eapi-mysql-python-django-seed,git@github.com:eejai42/eapi-mysql-python-django-seed,git@github.com:eejai42/eapi-mysql-python-django-seed,,,,,checked,,checked,,,,checked,,,,,checked,,,,,,,,,,,,,,1/12/2021 10:25pm,1/21/2021 7:38pm,"server (https://dl.airtable.com/.attachments/9e89e187e98b322b31a1c8dde48f7764/9efd933c/Learn_Microservices_-_2021_Best_Microservices_Tutorials),django (https://dl.airtable.com/.attachments/7e218464d50598652b785fe337d572ac/2e2d89e3/django-python-logo_-_OPENGIS.ch.ch),mysql (https://dl.airtable.com/.attachments/379890e2ec4defa36547ad896c6bba04/0a3924bf/MySQL_logo_PNG),python (https://dl.airtable.com/.attachments/3a78ff1f17ea9b05c4e329665b9cd876/77307f95/FilePython-logo-notext.svg_-_Wikimedia_Commons.svg-WikimediaCommons),webapp (https://dl.airtable.com/.attachments/803868516607111421ccb044de723d01/b5ef8a4d/Whats_the_Operating_System_of_my_Webapp__All_Things_Cloud)","Server, Django, MySQL, Python, WebApp"
eapi-airtable-android-seed,18,Beta,airtable-android,Airtable Android Native App,"Client,Airtable,Android",,https://github.com/effortlessapi/eapi-airtable-android-seed,https://github.com/effortlessapi/eapi-airtable-android-seed,git@github.com:eejai42/eapi-airtable-android-seed,git@github.com:eejai42/eapi-airtable-android-seed,,,,,,checked,,,checked,,,,,,,,,,checked,,,,,,,,,"eapi-airtable-android-seed_REPLACE_ej-tictactoe-demo_WITH_$EffortlessAPIProject.Alias$,eapi-airtable-android-seed_REPLACE_ejtictactoedemo_WITH_$EffortlessAPIProject.AliasToken$,eapi-airtable-android-seed_REPLACE_app123abc321_WITH_$EffortlessAPIProject.AirtableId$","REPLACE_ej-tictactoe-demo_WITH_$EffortlessAPIProject.Alias$, REPLACE_ejtictactoedemo_WITH_$EffortlessAPIProject.AliasToken$, REPLACE_app123abc321_WITH_$EffortlessAPIProject.AirtableId$",12/20/2019 9:50pm,1/21/2021 6:57pm,"client (https://dl.airtable.com/.attachments/a0bccf95ddcb941f216b0dddf48ebf95/4d6effdc/Client_App__Pike13),airtable (https://dl.airtable.com/.attachments/a90c9ccbfb7ec257d423835925be54f7/a49f4e4d/I_Finally_Understand_Databases_Because_of_the_Free_Airtable_App_...),android (https://dl.airtable.com/.attachments/e86b827e158acb30410427e71a0695c6/a27037f7/FileAndroid_logo_2019.svg_-_Wikipedia.svg-Wikipedia)","Client, Airtable, Android"
eapi-airtable-ios-seed,19,Beta,airtable-ios,Airtable iOS Native App,"Client,Airtable,iOS",,https://github.com/effortlessapi/eapi-airtable-ios-seed,https://github.com/effortlessapi/eapi-airtable-ios-seed,git@github.com:eejai42/eapi-airtable-ios-seed,git@github.com:eejai42/eapi-airtable-ios-seed,,,,,,checked,,,checked,,,,,,,,,checked,,,,,,,,,,,,12/20/2019 9:50pm,1/21/2021 6:57pm,"client (https://dl.airtable.com/.attachments/a0bccf95ddcb941f216b0dddf48ebf95/4d6effdc/Client_App__Pike13),airtable (https://dl.airtable.com/.attachments/a90c9ccbfb7ec257d423835925be54f7/a49f4e4d/I_Finally_Understand_Databases_Because_of_the_Free_Airtable_App_...),ios (https://dl.airtable.com/.attachments/822225515dc27784a0e5e80be2737a30/1f58be74/web-ios-logo__Cardiac_Exercise_Research_Group)","Client, Airtable, iOS"
eapi-airtable-dotnet-seed,20,Beta,airtable-dotnet,Airtable .Net Core Console app,"Airtable,DotNet,CLI",,https://github.com/effortlessapi/eapi-airtable-dotnet-seed,https://github.com/effortlessapi/eapi-airtable-dotnet-seed,git@github.com:eejai42/eapi-airtable-dotnet-seed,git@github.com:eejai42/eapi-airtable-dotnet-seed,".Net Console Application

Implement business logic in .net, and publish it to a docker container for ongoing back end support.",checked,,,checked,,,,checked,,,,,,,,checked,,,,,,,,,,,,,12/7/2019 9:50pm,1/21/2021 7:32pm,"airtable (https://dl.airtable.com/.attachments/a90c9ccbfb7ec257d423835925be54f7/a49f4e4d/I_Finally_Understand_Databases_Because_of_the_Free_Airtable_App_...),dotnet (https://dl.airtable.com/.attachments/4d53255d56338e7cb21ca9680449a275/89661d40/Dotnet_Vector_Logo_-_Download_Free_SVG_Icon__Worldvectorlogo),cli (https://dl.airtable.com/.attachments/90c96913529680ba9e94fcd7edd08aaf/127b5526/Azure_CLI_-_Docker_Hub)","Airtable, DotNet, CLI"
